Farmacia;Endereço;Bairro;Cidade;Estado;Latitude;Longitude;EnderecoCompleto
A BOTICA DROGARIA LTDA;RUA MACAÉ, Nº 373;BAIRRO DA GRAÇA;Belo Horizonte;MG;;;RUA MACAÉ, Nº 373, BAIRRO DA GRAÇA, Belo Horizonte, MG, Brasil
AG FARMA LTDA - ME;RIO DE JANEIRO;CENTRO;Belo Horizonte;MG;-19,9162884;-43,9378304;RIO DE JANEIRO, CENTRO, Belo Horizonte, MG, Brasil
ALFENAS E OLIVEIRA DROGARIA E PERFUMARIA LTDA;PORTO SEGURO;NOVA VISTA;Belo Horizonte;MG;-19,8861502;-43,900237;PORTO SEGURO, NOVA VISTA, Belo Horizonte, MG, Brasil
AMC DROGARIA LTDA - ME;GLEUCY JOSE DE OLIVEIRA;CONJUNTO TAQUARIL;Belo Horizonte;MG;-19,9186817;-43,8785493;GLEUCY JOSE DE OLIVEIRA, CONJUNTO TAQUARIL, Belo Horizonte, MG, Brasil
APOLITANA FERNANDA GONCALVES;OTY DA COSTA LAGE;SAO BENTO;Belo Horizonte;MG;-19,9569769;-43,954111;OTY DA COSTA LAGE, SAO BENTO, Belo Horizonte, MG, Brasil
AVANTE FORMULA LTDA - ME;DORESOPOLIS;FERNAO DIAS;Belo Horizonte;MG;-19,8736074;-43,9197268;DORESOPOLIS, FERNAO DIAS, Belo Horizonte, MG, Brasil
BH DIET - A CASA DO DIABETICO LTDA.;SOLFERINA RICCI PACE;CDI JATOBA (BARREIRO);Belo Horizonte;MG;-19,999137;-44,0409655;SOLFERINA RICCI PACE, CDI JATOBA (BARREIRO), Belo Horizonte, MG, Brasil
BHDIET- A CASA DO DIABETICO LTDA;RUA Cecília FONSECA COUTINHO 205;SANTA EFIGENIA;Belo Horizonte;MG;-19,9237686;-43,9212458;RUA Cecília FONSECA COUTINHO 205, SANTA EFIGENIA, Belo Horizonte, MG, Brasil
CENDROL CENTRAL DROGAS LTDA;MAJOR DELFINO DE PAULA;SAO FRANCISCO;Belo Horizonte;MG;-19,8793223;-43,9577846;MAJOR DELFINO DE PAULA, SAO FRANCISCO, Belo Horizonte, MG, Brasil
CLOVES RODRIGUES DA FONSECA;SERRANA;SERRANO;Belo Horizonte;MG;-19,8831144;-44,0120556;SERRANA, SERRANO, Belo Horizonte, MG, Brasil
COMERCIAL DERENUSSON LTDA;JOSE BENEVIDES DA SILVEIRA;LETICIA;Belo Horizonte;MG;-19,8070283;-43,9804371;JOSE BENEVIDES DA SILVEIRA, LETICIA, Belo Horizonte, MG, Brasil
COMERCIAL PEREIRA ALVES LTDA - ME;SAO PAULO;LOURDES;Belo Horizonte;MG;-19,9316929;-43,9434441;SAO PAULO, LOURDES, Belo Horizonte, MG, Brasil
DROGA G SANTA TEREZINHA LTDA;JULITA NOGUEIRA SOARES;SANTA TEREZINHA;Belo Horizonte;MG;-19,8707202;-44,0083552;JULITA NOGUEIRA SOARES, SANTA TEREZINHA, Belo Horizonte, MG, Brasil
DROGA HUM LTDA;TURQUESA;PRADO;Belo Horizonte;MG;-19,9276033;-43,9588071;TURQUESA, PRADO, Belo Horizonte, MG, Brasil
DROGA PRIMA LTDA;JACUI;IPIRANGA;Belo Horizonte;MG;-19,8829311;-43,9343723;JACUI, IPIRANGA, Belo Horizonte, MG, Brasil
DROGA SOUZA LTDA ME;ANTONIO JOSE DOS SANTOS;CEU AZUL;Belo Horizonte;MG;-19,8227499;-44,0039799;ANTONIO JOSE DOS SANTOS, CEU AZUL, Belo Horizonte, MG, Brasil
DROGA VIDA NOVA LTDA;JEQUITINHONHA, Nº 914 LOJA 02;SAUDADE;Belo Horizonte;MG;-19,915066;-43,8990987;JEQUITINHONHA, Nº 914 LOJA 02, SAUDADE, Belo Horizonte, MG, Brasil
DROGA-ANA LTDA;AGOSTINHO MARTINI;LAGOINHA;Belo Horizonte;MG;-19,905165;-43,9462803;AGOSTINHO MARTINI, LAGOINHA, Belo Horizonte, MG, Brasil
