CNPJ;Farmácia;Endereço;Bairro;Latitude;Longitude
17256512011665;Drogaria Araujo S A;Avenida Do Contorno, 9841;Barro Preto;-19.922172;-43.957618
17256512011908;Drogaria Araujo S A;Rua Dos Goitacazes, 1506;Barro Preto;-19.919908;-43.951094
33438250027600;Drogarias Pacheco S/A;Avenida Augusto De Lima, 1182;Barro Preto;-19.921941;-43.947463
17256512006238;Drogaria Araujo S.A.;Avenida Pedro Ii, 2856;Carlos Prates;-19.910764;-43.967928
17256512007714;Drogaria Araujo S/A;Avenida Dom Pedro Ii, 1950;Carlos Prates;-19.907835; -43.959774
16581308000108;Drogaria Araujo - Caetés;Rua Dos Caetes, 662;Centro;-19.915896;-43.940108
17256512000116;Drogaria Araujo S A;Rua Curitiba , 327;Centro;-19.915601;-43.940200
17256512011401;Drogaria Araujo S A;Rua Rio De Janeiro, 337;Centro;-19.917176;-43.937993
17256512000540;Drogaria Araujo S.A.;Rua Da Bahia, 1070;Centro;-19.924360;-43.937424
17256512006319;Drogaria Araujo S.A.;Rua Dos Tupis, 347;Centro;-19.921501;-43.940271
17256512002755;Drogaria Araujo S.A.;Rua Espirito Santo, 437;Centro;-19.918765;-43.936995
33438250028096;Drogarias Pacheco S/A;Avenida Professor Alfredo Balena, 95;Santa Efigênia;-19.924700;-43.928025
33438250028681;Drogarias Pacheco S/A;Rio De Janeiro, 383;Centro;-19.917732;-43.938111
33438250026719;Drogarias Pacheco S/A;Rua Dos Tupis, Nº 256;Centro;-19.921365;-43.939499
33438250029491;Drogarias Pacheco S/A;Rua Sao Paulo, 775;Centro;-19.920281;-43.940248
61585865091289;Raia Drogasil S/A;Rua Dos Goitacazes, 237;Centro;-19.922737;-43.939456
17256512008877;Drogaria Araujo S A;Rua Diabase, 303;Prado;-19.921307;-43.960255
33438250027952;Drogarias Pacheco S/A;Avenida Do Contorno, 8955;Prado;-19.930048;-43.957097
61585865092099;Raia Drogasil S/A;Rua Joao Lucio Brandao, 10;Prado;-19.919944;-43.957330
